,Cod_setor,quintilLongevidade,quintilAlfabetizacao,quintilRenda
731,410020205000018,4.0,2.0,3.0
732,410020205000019,3.0,4.0,4.0
733,410020205000020,1.0,3.0,2.0
734,410020205000021,5.0,2.0,2.0
735,410310705000001,2.0,5.0,4.0
736,410310705000002,3.0,3.0,4.0
737,410310705000003,4.0,4.0,5.0
738,410310705000004,3.0,2.0,4.0
739,410310705000005,3.0,5.0,4.0
740,410310705000006,2.0,5.0,3.0
741,410310705000007,4.0,2.0,4.0
742,410310705000008,2.0,2.0,3.0
743,410310705000009,3.0,2.0,3.0
744,410310705000010,5.0,1.0,1.0
745,410310705000011,4.0,2.0,2.0
746,410310705000012,2.0,4.0,2.0
747,410310705000013,4.0,1.0,1.0
748,410310705000014,5.0,4.0,3.0
749,410310705000015,3.0,4.0,3.0
750,410310705000016,2.0,5.0,4.0
751,410310705000017,2.0,2.0,1.0
752,410310705000018,4.0,4.0,2.0
753,410310705000019,1.0,2.0,4.0
754,410310705000020,5.0,3.0,3.0
755,410310705000021,3.0,3.0,4.0
756,410310705000022,3.0,2.0,2.0
757,410310705000023,3.0,2.0,3.0
758,410520105000001,2.0,2.0,3.0
759,410520105000002,3.0,2.0,4.0
760,410520105000003,3.0,1.0,4.0
761,410520105000004,3.0,3.0,2.0
762,410520105000005,4.0,5.0,5.0
763,410520105000006,1.0,1.0,1.0
764,410520105000007,2.0,1.0,4.0
765,410520105000008,1.0,1.0,1.0
766,410520105000009,3.0,1.0,2.0
767,410520105000010,1.0,2.0,2.0
768,410520105000011,3.0,2.0,2.0
769,410520105000012,2.0,1.0,1.0
770,410520105000013,2.0,1.0,2.0
771,410520105000014,3.0,3.0,4.0
772,410520105000015,4.0,1.0,1.0
773,410520105000016,1.0,1.0,1.0
774,410520105000017,2.0,1.0,1.0
775,410520105000018,1.0,3.0,3.0
776,410520105000019,2.0,1.0,2.0
777,410520105000020,1.0,4.0,5.0
778,410520105000021,2.0,2.0,2.0
779,410520105000022,5.0,2.0,3.0
780,410520105000023,1.0,1.0,1.0
781,410520105000024,4.0,2.0,5.0
782,410520105000025,1.0,4.0,3.0
783,410520105000026,2.0,2.0,4.0
784,410520105000027,1.0,1.0,3.0
785,410520105000028,2.0,2.0,3.0
786,410520105000029,3.0,4.0,5.0
787,410520105000030,3.0,2.0,4.0
788,410520105000031,2.0,1.0,2.0
789,410520110000001,2.0,5.0,4.0
790,410520110000002,2.0,1.0,1.0
791,410520110000003,3.0,1.0,1.0
792,410520110000004,3.0,2.0,1.0
793,410520110000005,3.0,3.0,2.0
794,410520110000006,2.0,2.0,1.0
795,410520110000007,1.0,2.0,1.0
796,410520110000008,3.0,2.0,1.0
797,410520110000009,3.0,1.0,2.0
798,410520110000010,3.0,2.0,1.0
799,410520110000011,3.0,1.0,1.0
800,411125805000001,1.0,3.0,5.0
801,411125805000002,1.0,5.0,5.0
802,411125805000003,3.0,4.0,4.0
803,411125805000004,2.0,3.0,3.0
804,411125805000005,1.0,2.0,3.0
805,411125805000006,1.0,3.0,5.0
806,411125805000007,3.0,1.0,4.0
807,411125805000008,1.0,1.0,2.0
808,411125805000009,1.0,1.0,3.0
809,411125805000010,1.0,5.0,4.0
810,411125805000011,3.0,4.0,3.0
811,411125805000012,3.0,4.0,3.0
812,411125805000013,1.0,4.0,4.0
813,411125805000014,2.0,1.0,3.0
814,411125805000015,1.0,3.0,3.0
815,411125805000016,1.0,5.0,4.0
816,411125805000017,4.0,1.0,4.0
817,411125805000018,4.0,1.0,2.0
819,411125805000020,4.0,1.0,1.0
820,411125805000021,5.0,1.0,2.0
821,411125805000022,4.0,2.0,2.0
822,411125805000023,5.0,3.0,2.0
823,411125805000024,4.0,2.0,2.0
824,411125805000025,1.0,1.0,1.0
826,411125805000027,3.0,3.0,3.0
827,411125805000028,1.0,2.0,4.0
828,411125805000029,1.0,3.0,3.0
829,411125805000030,1.0,4.0,3.0
830,411125805000031,1.0,3.0,3.0
831,411125805000032,2.0,5.0,4.0
832,411125805000033,1.0,2.0,2.0
833,411125805000034,4.0,3.0,2.0
834,412220605000001,3.0,4.0,5.0
835,412220605000002,5.0,5.0,5.0
836,412220605000003,3.0,2.0,4.0
837,412220605000004,1.0,5.0,5.0
838,412220605000005,2.0,5.0,5.0
839,412220605000006,4.0,3.0,5.0
840,412220605000007,2.0,5.0,5.0
841,412220605000008,2.0,4.0,2.0
842,412220605000009,2.0,4.0,5.0
843,412220605000010,3.0,5.0,5.0
844,412220605000011,1.0,5.0,4.0
845,412220605000012,2.0,4.0,3.0
846,412220605000013,3.0,4.0,5.0
847,412220605000014,5.0,4.0,4.0
848,412220605000015,4.0,4.0,4.0
849,412220605000016,4.0,3.0,3.0
850,412220605000017,4.0,4.0,3.0
851,412220605000018,1.0,3.0,4.0
852,412220605000019,2.0,2.0,2.0
853,412220605000020,3.0,4.0,3.0
854,412220605000021,2.0,4.0,3.0
855,412220605000022,5.0,4.0,1.0
856,412220605000023,1.0,5.0,3.0
857,412220605000024,5.0,4.0,1.0
858,412220605000025,4.0,4.0,2.0
859,412220605000026,5.0,2.0,1.0
860,412220605000027,5.0,1.0,1.0
861,412220605000028,5.0,2.0,2.0
862,412220605000029,5.0,2.0,1.0
863,412220605000030,5.0,1.0,2.0
864,412220605000031,4.0,1.0,1.0
865,412220605000032,5.0,2.0,2.0
866,412220605000033,5.0,2.0,2.0
867,412220605000034,3.0,2.0,2.0
868,412220605000035,4.0,1.0,3.0
869,412220605000036,5.0,2.0,2.0
870,412220605000037,1.0,4.0,1.0
871,412220605000038,5.0,1.0,1.0
872,412220605000039,5.0,3.0,1.0
873,412220605000040,2.0,2.0,1.0
874,412220605000041,5.0,2.0,3.0
875,412220605000042,4.0,5.0,3.0
876,412220605000043,5.0,3.0,3.0
877,412220605000044,3.0,3.0,3.0
878,412220605000045,2.0,1.0,3.0
879,412220605000046,5.0,3.0,3.0
880,412220605000047,5.0,5.0,5.0
881,412220605000048,3.0,5.0,5.0
882,412220605000049,3.0,2.0,3.0
883,412220605000050,3.0,1.0,3.0
884,412220605000051,3.0,3.0,3.0
885,412220605000052,1.0,3.0,2.0
886,412220605000053,4.0,3.0,1.0
887,412220605000054,1.0,1.0,2.0
888,412220610000001,1.0,5.0,4.0
889,412220610000002,5.0,1.0,2.0
890,412220610000003,4.0,2.0,2.0
891,412220610000004,4.0,5.0,1.0
892,412788205000001,1.0,1.0,4.0
893,412788205000002,3.0,4.0,1.0
894,412788205000003,4.0,1.0,3.0
895,412788205000004,1.0,1.0,4.0
896,412788205000005,5.0,1.0,2.0
897,412788205000006,3.0,1.0,3.0
898,412788205000007,5.0,1.0,2.0
899,412788205000008,3.0,2.0,1.0
900,412788205000009,1.0,1.0,3.0
901,412788205000010,2.0,1.0,1.0
902,412788205000011,1.0,1.0,4.0
903,412788205000012,3.0,2.0,2.0
904,412863305000001,2.0,3.0,4.0
905,412863305000002,2.0,1.0,3.0
906,412863305000003,4.0,2.0,1.0
907,412863305000004,2.0,1.0,1.0
908,412863305000005,1.0,3.0,1.0
909,412863305000006,2.0,3.0,1.0
910,412863305000007,1.0,1.0,2.0
911,412863305000008,2.0,2.0,2.0
912,412863305000009,2.0,2.0,1.0
913,412863305000010,3.0,2.0,1.0
914,412863305000011,3.0,3.0,1.0
915,412863305000012,2.0,1.0,1.0
916,412863305000013,4.0,2.0,1.0
